hotel,price,score,avg review,reviews count
Hôtel Opéra Liège,US$182,8.8,Excellent,972
Atala powered by Sonder,US$207,8.1,Very Good,"1,057"
Motel One Paris-Porte Dorée,US$108,8.7,Excellent,"6,631"
Hôtel Avenir Jonquière,US$75,7.9,Good,"1,842"
Grand Hotel des Balcons,US$123,8.2,Very Good,"1,819"
Au Pacific Hotel,US$159,8.0,Very Good,"3,411"
25hours Hotel Terminus Nord,US$151,8.4,Very Good,"2,649"
UCPA SPORT STATION HOSTEL PARIS,US$32,8.0,Very Good,"4,680"
Hotel du Pré,US$132,8.3,Very Good,"2,149"
Hotel Armoni Paris,US$145,8.1,Very Good,"1,798"
Le Temple De Jeanne,US$121,8.8,Excellent,"1,939"
Hotel Nation Montmartre,US$106,6.2,Review score,111
Hôtel Esté,US$188,8.8,Excellent,330
Hôtel Brittany,US$163,8.5,Very Good,282
Beau M Paris,US$45,8.7,Excellent,981
Courcelles Etoile,US$102,8.2,Very Good,"1,356"
Hôtel Les Deux Gares,US$116,8.3,Very Good,806
Hotel Orphée - Orso Hotels,US$134,8.1,Very Good,"1,213"
Hôtel 31 - Paris Tour Eiffel,US$180,8.6,Excellent,"4,108"
Grand Hôtel Amelot,US$175,8.1,Very Good,"4,213"
Hôtel du Levant,US$149,8.4,Very Good,"2,169"
Le Katorze Hôtel,US$129,8.4,Very Good,"1,065"
Eiffel Petit Louvre,US$155,7.9,Good,"2,623"
Hotel Relais Bosquet by Malone,US$236,8.7,Excellent,994
Maison Du Pré,US$97,7.6,Good,"1,765"
St Christopher's Inn Paris - Gare du Nord,US$21,7.2,Good,"8,263"
